{'Abayaka Ukasanos',
 'Abenosa Shikama',
 'Abra Ino',
 'Abrama Gariana',
 'Abras Andoukos',
 'Abrisonaki Taki',
 'Abro Raga',
 'Aliakiss Nakawari',
 'Alimasa Gali',
 'Alomas Ganamosa',
 'Alomo Shistarisanaki',
 'Alomono Uki',
 'Alomosano Zoulishi',
 'Aloubi Roshomo',
 'Alouka Dakano',
 'Aloushissanoshageris Elamano',
 'Anakishis Clis',
 'Anamas Funaka',
 'Anamos Denos',
 'Anamoshi Zhosa',
 'Anda Youmo',
 'Andaka Nassenasa',
 'Andiado Koro',
 'Andias Otaraki',
 'Ando Baka',
 'Andono Bishamoshi',
 'Andonosa Clomoushisa',
 'Ani Banamoshana',
 'Anianos Canoki',
 'Animanoshi Degisha',
 'Anis Antana',
 'Anomanos Maro',
 'Anomas Golenka',
 'Anomoshi Elaki',
 'Anos Asaki',
 'Anos Esto',
 'Anosa Gariana',
 'Anosa Otakasa',
 'Anoshamishi Monagusakis',
 'Anoukarishisha Youri',
 'Antaka Gunomanas',
 'Antamakisa Ushamos',
 'Antashian Jakinos',
 'Antoshishina Malano',
 'Antoukishanos Sharo',
 'Arama Esami',
 'Arama Shidoulas',
 'Aras Goraki',
 'Arasakishi Enis',
 'Ariaka Lanamasanoshia',
 'Arimous Shimosano',
 'Ashiaka Hanamosa',
 'Astama Ishi',
 'Astamo Vinakana',
 'Baka Abramoshisan',
 'Baka Yoma',
 'Bakamouka Chamanos',
 'Bakis Yomo',
 'Balas Yoshaki',
 'Balasa Ranasakisha',
 'Balis Zakawoshi',
 'Banagusa Harosania',
 'Banamaka Yomaka',
 'Banamo Hantoushana',
 'Banamo Kora',
 'Banamoshaka Rosa',
 'Bandas Garasa',
 'Banomo Bura',
 'Barakan Tomosa',
 'Baraki Canokanosakawishaiag',
 'Baranakoshi Takiakisha',
 'Belishiano Zanoshano',
 'Bennosana Zalanoka',
 'Beri Casana',
 'Beri Ustianouki',
 'Berian Oni',
 'Berishona Jakias',
 'Berissu Tanakamoshais',
 'Bika Danaka',
 'Bikomatos Rouki',
 'Bino Sakamata',
 'Birasa Onosanakas',
 'Birosa Janourishi',
 'Bisaka Nasakitai',
 'Bishi Zouri',
 'Bishiaki Unosakas',
 'Bishomosta Rosanaki',
 'Bisoushisa Yamamosano',
 'Bissanaka Enomochisha',
 'Bisso Okinou',
 'Bistaros Horama',
 'Bundo Horosharashi',
 'Bundo Onosaki',
 'Bundosana Nosho',
 'Buranoshi Katos',
 'Burisanosan Eniakishia',
 'Cakamo Tosta',
 'Cakas Bakis',
 'Cakasa Eni',
 'Caki Winaki',
 'Cakino Satomo',
 'Calisa Loulishissa',
 'Caloshaki Furaki',
 'Camakisan Vinosana',
 'Camou Posakasa',
 'Camoulous Chima',
 'Canamo Closanosha',
 'Canoulo Vistaka',
 'Casaka Staranos',
 'Casanosha Eloukish',
 'Cashinosanos Antososa',
 'Chakamos Kisakis',
 'Chakanaka Makatos',
 'Chakianos Cakino',
 'Chakina Otshama',
 'Chamanou Onosa',
 'Chido Onaka',
 'Chidoukish Katakasha',
 'Chikamana Guna',
 'Chiko Nakana',
 'Chikomo Otouki',
 'Chilanos Minnoshiana',
 'Chilisan Denasha',
 'Chilo Sakanossan',
 'Chiloshi Juno',
 'Chimano Horoshanos',
 'Chimano Manosa',
 'Chis Satsana',
 'Chura Tomoshi',
 'Churama Masana',
 'Churisha Ena',
 'Clapo Ustou',
 'Clima Kalas',
 'Climano Gosano',
 'Climanos Manous',
 'Clistouli Basakitou',
 'Clomanos Onos',
 'Closakanoshissagai Chakamos',
 'Dakakanaki Caki',
 'Dakama Isakishami',
 'Dakamo Koura',
 'Dakana Tourishi',
 'Dakano Vinisakia',
 'Damanaki Vilosan',
 'Damous Tashimous',
 'Danaka Unagisa',
 'Danakana Jono',
