{'Anaga Disawosaki',
 'Anaga Hanomonagata',
 'Anaga Uki',
 'Anaga Winagi',
 'Anagana Chimoto',
 'Anagana Uno',
 'Anagushakisa Roshi',
 'Anama Mishi',
 'Anama Mishimo',
 'Anamatsu Mano',
 'Anamonagatos Kinamono',
 'Ano Fakamoto',
 'Ano Gasakiwonagai',
 'Ano Haramatsa',
 'Ano Ino',
 'Ano Ishamata',
 'Ano Oki',
 'Anoma Haro',
 'Anoma Ukamoto',
 'Anomo Dakawamishi',
 'Anomo Kinoma',
 'Anomo Nimotona',
 'Anomona Zhimo',
 'Anomonagatagisa Nanaganoshishaigina',
 'Anomonosakiyagaishii Dikawamataga',
 'Asaka Enoma',
 'Asaka Ganomatsa',
 'Asaka Romata',
 'Asakawo Eshimotono',
 'Asawa Wakamo',
 'Asawawa Ragukawaishi',
 'Asawawogi Wisaki',
 'Asawawogisa Yomo',
 'Asawo Unamo',
 'Ashama Ena',
 'Ashamataga Maro',
 'Ashawa Shimoto',
 'Ashawa Unagisaki',
 'Ashawo Eshama',
 'Ashawo Unamata',
 'Ashi Canagishi',
 'Ashi Otoka',
 'Ashimata Nisamotano',
 'Bakawama Hira',
 'Bakawamata Inomo',
 'Bakawo Dano',
 'Bakawo Guro',
 'Bakuka Zhimano',
 'Bakukawi Nano',
 'Bakumatano Mina',
 'Bakumatsuki Inomonagi',
 'Bakumo Asawoma',
 'Bakumota Kina',
 'Bakumota Yasamito',
 'Banamataki Inagana',
 'Bano Haro',
 'Bano Rakima',
 'Bano Zhimanosakaishi',
 'Banoma Mina',
 'Banomo Mina',
 'Banomonosakai Unomana',
 'Bikamatagi Dikuno',
 'Bikawama Esakiwono',
 'Bikawosakawaiginaga Mishi',
 'Bikumatsakaigiy Nimatsuka',
 'Bikumo Enoma',
 'Bikumotano Tokamo',
 'Bikumotono Mino',
 'Bikunama Ena',
 'Bikunamo Danama',
 'Bikunamo Gasamitagisa',
 'Bikunamonagaisha Sano',
 'Bikunamonoshii Fakama',
 'Bikuno Wino',
 'Bikunoka Unama',
 'Bikunokano Winaga',
 'Bikunokinagaisa Oto',
 'Bisaka Asaka',
 'Bisakawatou Yoshamo',
 'Bisakawo Hisanomato',
 'Bisamota Zhoguro',
 'Bisha Jomo',
 'Bisha Tasakawonagi',
 'Bisha Tokumo',
 'Bisha Zhoguragishi',
